customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,segment,source_updated_at
1047,Katelyn,Shaffer,lisahines@example.net,8163536632,164 Trevor Turnpike Apt. 935,Lake Rickeyshire,CA,57637,Silver,2026-08-15T09:16:09.033451+00:00
1187,Renee,Gibson,oliverdonna@example.com,665.723.9153x574,767 Robbins Gardens Suite 051,Lake Samuelborough,FM,94686,Bronze,2026-08-15T09:16:09.033451+00:00
1163,David,Barber,jeffreyanderson@example.com,001-504-596-5370x35151,38376 Jones Lakes,South Alexander,MH,96882,Bronze,2026-08-15T09:16:09.033451+00:00
1054,Joseph,Smith,hudsonandre@example.org,(707)350-8426,79840 Jordan Fork,Jacobsport,UT,91515,Bronze,2026-08-15T09:16:09.033451+00:00
1072,Sarah,Jackson,lawrence22@example.com,5159685017,47002 Angela Brooks Apt. 024,Robertofurt,PA,91156,Silver,2026-08-15T09:16:09.033451+00:00
1071,Sara,Carey,andradekatelyn@example.com,931-483-6125,649 Ayala Plain,Andersonchester,CA,11326,Silver,2026-08-15T09:16:09.033451+00:00
1036,Joseph,Huff,xmiller@example.com,001-526-956-2253x82670,966 David Ways,Derrickbury,MT,16451,Bronze,2026-08-15T09:16:09.033451+00:00
1169,Julian,Baker,robertprince@example.net,660.514.9814,81723 Smith Port,Tuckerhaven,VT,88499,Silver,2026-08-15T09:16:09.033451+00:00
1018,Madison,Clark,amandadiaz@example.org,(955)804-8019x41175,67577 Davis Turnpike,Autumnhaven,NJ,24802,Gold,2026-08-15T09:16:09.033451+00:00
1115,Michael,Reeves,zacharyabbott@example.com,6773891353,261 Melissa Lodge Apt. 978,Matthewport,WI,98798,Bronze,2026-08-15T09:16:09.033451+00:00
1089,Meghan,Shelton,haneyveronica@example.org,+1-628-754-2377x96007,0991 Taylor Plains,West Jameston,SC,69822,Gold,2026-08-15T09:16:09.033451+00:00
1133,Dylan,Williams,greyes@example.net,(600)692-0036,84214 Johnson Spring Suite 858,Stevenside,MS,56487,Gold,2026-08-15T09:16:09.033451+00:00
1189,Stacey,Holt,wileyalexandra@example.net,(983)742-5622,80685 Michelle Plaza Suite 203,South Alexander,AL,34139,Gold,2026-08-15T09:16:09.033451+00:00
1108,Carolyn,Bryan,savannahclay@example.org,001-745-749-8842x17036,4749 Santos Points Apt. 910,Jeffreyberg,ID,90948,Silver,2026-08-15T09:16:09.033451+00:00
1196,Amber,Fernandez,smithchase@example.org,785.632.1517x197,06270 Lopez Lake Apt. 303,North Joseph,SC,60240,Silver,2026-08-15T09:16:09.033451+00:00
